hebrew_day,hebrew_month,popular_name,full_name,years,quote,stream,role,image_url,sources,importance_score,biography,story,torah
30,תשרי,"הרב ה'חסד לאברהם' זצ""ל","הגה""ק רַבִּי אַבְרָהָם ב""ר מָרְדְּכַי אֲזוּלַאי.",,,,,,לוח צדיקים (רב ישראל יעקב פרבר),5,"הרב חסד לאברהם זצ""ל היה מעיר פאס במרוקו. נפטר בשנת ת""ד. חיבר ספר בשם ""חסד לאברהם"". משפחתו הגיעה לפאס מיד אחרי גרוש ספרד. בדרכם לפאס, עצרו בקפוטקיא. כאשר יצאו לים, השאירו את כל רכושם בספינה. הוקמה רוח סערה אדירה, הספינה התחלקה וכל רכושם טבע. אך הם ניצלו בנס. כדי לזכור נס גדול זה, עשה את חתימתו בצורת ספינה.",,
30,תשרי,"הרב ה'בני שלשים' זצ""ל","הרה""ק רַבִּי יְהוֹסֵף בהרה""צ ר' צְבִי הִירְשׁ רוֹטְנְבֶּערְג מִקָּאסָאן.",,,,,,לוח צדיקים (רב ישראל יעקב פרבר),5,"הרב בעל 'בני שלשים' נפטר בשנת תרע""ב. הוא השתדל להשמור על אמת לעומת שקר, ואמר שאם האמת תשמש ככלי לשקר, גם האמת תהפוך לשקר. במשך חמש עשרה שנה לימד תורה לרבים בעיר קאסאן והתענה רבות. גדולי הצדיקים בדורו השיבחו אותו מאד, ובהם ה'דברי חיים' מצאנז, הרה""ק רבי דוד מדינוב וה'יטב לב'.",,
30,תשרי,"הרב ה'דברי יששכר' זצ""ל","הַגָּאוֹן רַבִּי יִשָּׂכָר בֶּער בהג""ר בִּנְיָמִין גְרוֹיבַּארְט מִבֶּענְדִין.",,,,,,לוח צדיקים (רב ישראל יעקב פרבר),5,"הרב 'דברי יששכר' זצ""ל נפטר בשנת תרע""ד. הוא היה בעל חיבור 'שו""ת דברי יששכר'. מימלא חזקה, התבלט כלמדן חריף בעל מוסכמה רחבה, וקנה לעצמו שם כ'העילוי משרענסק'. הרב הרבץ תורה לקהל רב ותרם לטובת עם ישראל כשדון עם שלטונות המדינה לטובת בני ישראל. כבודו היה גדול בעיני העמים והשרים.",,
30,תשרי,"הרב ​רבי מרדכי מבילגורייא זצ""ל","כ""ק הגה""ק רַבִּי מָרְדְּכַי בֶּן כ""ק מָרָן רַבִּי יִשָּׂכָר דֹּב רוֹקֵחַ מִבִּילְגוּרַייא.",,,,,,לוח צדיקים (רב ישראל יעקב פרבר),5,"הרב רבי מרדכי מבילגוריא זצ""ל היה מנהיג רוחני באופי רם ומשפיע. נפטר בשנת תש""י וחיבר את 'פרשת מרדכי'. בשנת תרפ""ו, בגיל עשרים וארבע, מונה לרב בעיר בילגוריא בלובלין בפולין. לאחר פטירת אביו מהרי""ד מבעלזא בשנת תרפ""ז, הוביל את הקהילה בחוכמה ובתבונה. השגיח על כל עניני הדת והעיר. הוא הקים בעיר תלמוד-תורה ""זכרון יעקב וביתמשה"" לחינוך הדור הצעיר. בהספדו על אחיו מהרא""א אמר עליו שהקים בבילגוריא תלמוד-תורה שהביא שמחה לילדי הקהילה.",,
30,תשרי,"הרב ה'ושב הכהן' זצ""ל","הג""ר רְפָאֵל ב""ר יְקוּתִיאֵל זִיסְקִינְד הַכֹּהֵן מֵהַאמְבּוּרְג.",,,,,,לוח צדיקים (רב ישראל יעקב פרבר),5,"הרב ה'ושב הכהן' נִפְטַר בשנת תקס""ד. הוא חיבר את ספר 'וְשׁב הַכֹּהֵן'. בספרו 'שׁמִירַת הַלָּשׁוֹן' כתב עליו החפץ חיים שׁחַד שָׁנִים קודם פטירתו, השקיע את עצמו בהימנעות מלשון הרע. הוא התנהל בדרך קשה: הנהג לבקש מאורחים שלא ידברו בביתו על כל אדם, כדי למנוע עבירה זו. לדעתו, אם חטא שוגג נקרה לאדם אחרי שעשה תשובה, הרי זה סימן שתשובתו עדיין אינה שלמה. כי אם הייתה קבולה לפני הבורא, לא הייתה עבירה חוזרת אליו.",,
30,תשרי,"רבי ליבער מבארדיטשוב זצ""ל","הרה""ק רַבִּי אֱלִיעֶזֶר לִיבֶּער בהרה""ק ר' אַבְרָהָם אַשְׁכְּנַזִּי, אַבַּ""ד בַּארְדִיטְשׁוֹב.",,,,,,לוח צדיקים (רב ישראל יעקב פרבר),5,"רבי ליבער מבארדיטשוב היה גאון מפורסם בדורו. נפטר בשנת תקל""א. התחשב כאיש אלוקים ומקובל גדול. זכה לגילוי אליהו הנביא. הבעל שם טוב הקדוש העיד עליו שאליהו הנביא היה צריך לתאם עם הרב זמנים מסודרים כדי לדבר איתו, כיוון שהרב היה תמיד עסוק בעבודתו. המקובל הגדול בעל ""מגלה עמוקות"" היה בא אליו בכל לילה ללמוד יחד איתו.",,
30,תשרי,"רבי אברהם אביש קנר זצ""ל","הַגָּאוֹן רַבִּי אַבְרָהָם אַבִּישׁ בהג""ר יַעֲקֹב שִׁמְשׁוֹן קַנֶר מִטְּשֶׁעכוֹיב-חֵיפָה.",,,,,,לוח צדיקים (רב ישראל יעקב פרבר),5,"רבי אברהם אביש קנר זצ""ל נִפְטַר בִּשְׁנַת תשד""מ. בִּנְעוּרָיו לָמַד בְּעִיר סָאנוּק. בִּשְׁנַת תרפ""א נָשָׂא אֶת בַּת הַגָּאוֹן רַבִּי מָרְדְּכַי יוֹסֵף מֹשֶׁה מוֹשְׁקוֹבִיץ, אַדְמוֹ""ר מִסּוּלִיצָא וּבוֹטוֹשַׁאן, וְהִנְהִיג חֲסִידִים בְּיַאסִי. בִּשְׁנַת תש""א נִצַּל בְּנֵס מֵהַטֶּבַח בִּמְלַחֶמֶת הָעוֹלָם הַשְּׁנִיָּה. לְאַחַר הַמִּלְחָמָה כִּהֵן כְּאַדְמוֹ""ר בְּבוּקַרֶסְט, וְעָלָה לְאֶרֶץ יִשְׂרָאֵל. בִ",,
1,חשוון,"הרב מנחם מנדל קרוכמל זצ""ל","הרב מנחם מנדל קרוכמל (נולד בערך בשנת ה'ש""ס, 1600  א' בחשון ה'תכ""א, 1661)",,,,,2954061578191606.jpg,Facebook group archive,5,,,
1,חשוון,"רבי יששכר בעריש הכהן מייסד חסידות וולברוז' זצ""ל",רבי יששכר בעריש הכהן מייסד חסידות וולברוז',,,חסידי,,2954061578191606.jpg,Facebook group archive,5,,,
1,חשוון,"רבי עקיבא מאיר אדמו""ר בלוקווע (לוקובה). זצ""ל","רבי עקיבא מאיר אדמו""ר בלוקווע (לוקובה).",,,חסידי,אדמו״ר,2954061578191606.jpg,Facebook group archive,5,,,
1,חשוון,"רבי ישראל שפירא זצ""ל","רבי ישראל שפירא (חשוון תר""נ, 1889  א' בחשוון תש""נ, 1989)",,,,,2954061578191606.jpg,Facebook group archive,5,,,
1,חשוון,"הרב בנימין (בני) אייזנר זצ""ל","הרב בנימין (בני) אייזנר (ו' באדר ב' תש""ג  1943 – א' בחשוון תשע""ב 2011)",,,,,2954061578191606.jpg,Facebook group archive,5,,,
1,חשוון,"הרב יוסף בר יהודה אנגל זצ""ל",הרב יוסף בר יהודה אנגל,,,מקובלים,"פוסק, מקובל",2954061578191606.jpg,Facebook group archive,5,"הרב יוסף בר יהודה אנגל זצ""ל נולד בשנת תרי""ט (1859) ונפטר בווינה בשנת תר""פ (1919). היה מחכמי גליציה וגדול הדור — פוסק ומקובל שאליו נשאלו מאות רבנים בעניני הלכה. נבחר לאב בית דין בקראקוב בשנת 1906 ונחשב לרבה הראשי של העיר.

כתב למעלה ממאה ספרים בהלכה, אגדה וקבלה. בחייו הודפסו עשרים מחיבוריו, בהם ""אתוון דאורייתא"", ""בית האוצר"" ו""חושן יוסף"". שאר כתביו נשמרו בכתב יד וכמקצתם הודפסו לאחר מותו.

בדרכו הייחודית מצא לכל רעיון בקבלה שורש בתלמוד, וכך איחד את כל חלקי התורה — הלכה, אגדה וסוד — ליחידה אחת.",,
1,חשוון,"הרב חכם בכור יעקב יעבץ זצ""ל",חכם בכור יעקב יעבץ,,,,,2954061578191606.jpg,Facebook group archive,5,,,
2,חשוון,"רבי שמואל די מדינה זצ""ל","רבי שמואל די מדינה (ידוע בכינוי מהרשד""ם, ה'רס""ו, 1506 – ב' בחשוון ה'ש""ן 1589)",,,,,2954734524790978.jpg,Facebook group archive,5,,,
2,חשוון,"רבי ברוך הגר (סיוון ה'תר""ה, קאסוב  כ' בכסלו ה'תרנ""ג) זצ""ל","רבי ברוך הגר (סיוון ה'תר""ה, קאסוב  כ' בכסלו ה'תרנ""ג)",,,,,2954734524790978.jpg,Facebook group archive,5,,,
2,חשוון,"הרב אלעזר שמחה וסרמן זצ""ל","הרב אלעזר שמחה וסרמן (תרנ""ח, 1898  ב' בחשוון תשנ""ג 1992)",,,,,2954734524790978.jpg,Facebook group archive,5,,,
2,חשוון,"הרב משה יהודה לייב שפירא זצ""ל","הרב משה יהודה לייב שפירא (תרי""ג 1853  ב' בחשוון תרע""ז, 1916)",,,,,2954734524790978.jpg,Facebook group archive,5,,,
2,חשוון,"הרב יצחק (נפטר בב' בחשוון ה'תשע""ב, ללא צאצאים) זצ""ל","הרב יצחק (נפטר בב' בחשוון ה'תשע""ב, ללא צאצאים)",,,,,2954734524790978.jpg,Facebook group archive,5,,,
2,חשוון,"הרב חכם יעקב אלפנדארי זצ""ל",חכם יעקב אלפנדארי,,,,,2954734524790978.jpg,Facebook group archive,5,,,
2,חשוון,"רבי ישראל פרידמן מרוז'ין 1796, ג' בתשרי ה'תקנ""ז זצ""ל","רבי ישראל פרידמן מרוז'ין 1796, ג' בתשרי ה'תקנ""ז",,,,,2955846961346401.jpg,Facebook group archive,5,,,
2,חשוון,"רבי אליעזר הורוביץ מדז'יקוב (ה'תק""ן  ג' בחשוון ה'תרכ""א) זצ""ל","רבי אליעזר הורוביץ מדז'יקוב (ה'תק""ן  ג' בחשוון ה'תרכ""א)",,,,,2955846961346401.jpg,Facebook group archive,5,,,
2,חשוון,"רבי יוסף זונדל מסלנט זצ""ל",רבי יוסף זונדל מסַלַנְט,,,,,2955846961346401.jpg,Facebook group archive,5,,,
2,חשוון,"רבי יהודה ליב שניאורסון (1808 זצ""ל",רבי יהודה לֵיבּ שניאורסון (1808,,,,,2955846961346401.jpg,Facebook group archive,5,,,
2,חשוון,"הרב מקאפוסט, הוא בנו של הצמח צדק, רבי מנחם מנדל שניאורסון, האדמו""ר השלישי של חב""ד. זצ""ל","האדמו""ר מקאפוסט, הוא בנו של הצמח צדק, רבי מנחם מנדל שניאורסון, האדמו""ר השלישי של חב""ד.",,,חסידי,אדמו״ר,2955846961346401.jpg,Facebook group archive,5,,,
2,חשוון,"רבי יוסף יוזל הורוביץ זצ""ל",רבי יוסף יוזל הורוביץ,,,,,2955846961346401.jpg,Facebook group archive,5,,,
2,חשוון,"רבי יצחק זליג מורגנשטרן זצ""ל","רבי יצחק זליג מורגנשטרן (תרכ""ו, 1866  ג' בחשוון ת""ש, 1939)",,,,,2955846961346401.jpg,Facebook group archive,5,,,
2,חשוון,"הרב עובדיה יוסף זצ""ל","הרב עובדיה יוסף (י""ב בתשרי ה'תרפ""א 1920 – ג' בחשוון ה'תשע""ד, 2013)",,,,,2955846961346401.jpg,Facebook group archive,5,,,
4,חשוון,"הרב מפיאסצנה זצ""ל",רבי קלונימוס קלמן שפירא,,"-רבי שלמה קרליבך סיפר שאחד המשפטים שהיו שגורים בפיו והיה אומר אותו בכל הזדמנות הוא תזכרו דבר אחד, הדבר הכי חשוב בחיים זה לעשות טובה ליהודי אחר.("" צו טון א ייד א טוב'ע "".)

-""כי מי המחנך שלך - אם לא אתה עצמך"" ( חובת התלמידים פרק ג').

-אמַר פַּעַם כִּי רַבִּי שֶׁאֵינוֹ מוּכָן לֵילֵךְ לְגֵיהִנּוֹם כְּדֵי לְהַצִּיל חָסִיד שֶׁלּוֹ מֵרֶדֶת שַׁחַת – אֵינוֹ רַבִּי כְּלָל. 

- לִפְנֵי פְּטִירָתוֹ אָמַר עַל הַפָּסוּק (בראשית מד, לד) ""אֵיךְ אֶֽעֱלֶה אֶל־אָבִי וְהַנַּעַר אֵינֶנּוּ אִתִּי"" – 'אֵיךְ נַעֲלֶה אֶל אָבִינוּ שֶׁבַּשָּׁמַיִם אִם הַנְּעָרִים הָרַכִּים אֵינָם אִתָּנוּ, הַרְבֵּה מֵהֶם הֶחְמִיצוּ וְסָרוּ מִן הַדֶּרֶךְ כִּי חָדַלְנוּ מִלְּחַנְּכָם לַתּוֹרָה, בְּאָמְרֵנוּ, הֲלֹא בֵּין כֹּה וָכֹה יִשְׂרְפוּם צוֹרְרֵי הַיְּהוּדִים בָּאֵשׁ'.",חסידי,אדמו״ר,2684769425120824.jpg,Facebook group archive,5,"הרב מפיאסצנה זצ""ל היה אדמו""ר בפיאסצנה, עיירה בדרום פולין. ייסד את ישיבת דעת משה בוורשה בשנת תרפ""ג והיה ידוע כמחנך בחסידות. נולד בתרמ""ט לרבי אלימלך שפירא, מצאצאי רבי אלימלך מליז'נסק. אמו הייתה בתה של האדמו""ר רבי חיים שמואל מחנצ'ין.

בשואה נשאר בגטו וורשה עם חסידיו למרות הצרות. עשה מאמצים רבים לשמור על החיים הדתיים בגטו. כתביו התורניים, שהחביא בכד חלב, נמצאו שנים רבות לאחר מכן ונודפסו על ידי מכון לחקר היהדות בורשה. דרשותיו ידועות בספרו ""אש קודש"".","חסיד סיפר לאדמו""ר שהוא נוסע לורשה, והאדמו""ר בקש ממנו לקנות מקטרת. החסיד שכח את הבקשה בעטיו טרדות הדרך. כשחזר, הוא התחמק מהאדמו""ר, אך הרב ניגש אליו ושאל: ""מה עם המקטרת?"" החסיד הודה שכח והציע לקנות במקום אחר. הרב השיבו: ""המקטרת עצמה אינה חשובה. אך חסיד צריך לזכור תמיד את צדיקו, אפילו בעירו הרחוקה ורשה.""",
4,חשוון,"רבי משה פולק זצ""ל","הַגָּאוֹן רַבִּי מֹשֶׁה בהגה""צ ר' זֶעקִיל הַלֵּוִי פּוֹלַק מִבָּאנְיַהאד.",,,,,2685122725085494.jpg,Facebook group archive,5,"רבי משה פולק היה חכם יהודי שהצע פירוש עמוק למשפט ""שׂונא מתנות יחיה"" מן משלי. על פי דבריו, הנשמה ירדה לעולם הזה מפני שלא רצתה בשמיים ""נחמת כסופא"". מי ששׂונא מתנות צריך לחיות בעולם הזה כדי לקיים מצוות ומעשים טובים, ולא להיות תלוי בהנחמות שיקבל בשמיים. לעומת זאת, מי שמקבל מתנות אינו צריך לקיום עולם. רבי משה פולק נפטר בשנת תרמ""ט.",,
4,חשוון,"רבי יהודה מודערן זצ""ל","רבי יהודה מודרֶן (או מודרין; ח' בטבת ה'תק""פ 1819  ד' בחשוון ה'תרנ""ד 1893)",,,,,2685122725085494.jpg,Facebook group archive,5,"רבי יהודה מודרן זצ""ל נולד בשנת תקפ (1819). בגיל חמש שנים כבר נחשב לילד פילאי. בגיל שמונה התקבל ללמוד בישיבת החתם סופר בפרעשבורג. בגיל שלוש עשרה העיד עליו רבו החתם סופר שהוא מוכשר בלימוד ובהלכה כמו אחד ההורים והמורים. הפך לגאון עצום בדורו. אף על פי שגדולי הדור, ובהם הדברי חיים, הפציעו בו לקבל את משרת הרבנות בעיר ריישא, הוא סירב. נפטר בשנת תרנד (1893).",,
4,חשוון,"הרב ה'חלקת יואב' זצ""ל","הַגָּאוֹן רַבִּי יוֹאָב יְהוֹשֻׁעַ ב""ר נָתָן נָטָע וַויינְגַרְטְן",,,,,2685122725085494.jpg,Facebook group archive,5,"הרב יואב יהושע וינגרטן נולד בשנת תר""ה וסמך על הרב האבנים נזר מסאקטשוב זצ""ל. לאחר נישואיו עבר לנאשעלסק, שם שכן עם רבו וכיהן כמו""ץ דמתא. אחר כך הנהיג את יישיבת לוטומירסק, ואחרי כן שימש כרב בקינצק למשך כ-28 שנים. בקינצק לימד מאות תלמידים מנודים. כתב את ספרו ""קבא דקשיתא"" – 103 קשיות שהשאיר לעיון, וגדולי האחרונים כתבו עליהן הרבה תירוצים. נפטר ביום ד' בחשוון תרפ""ג (1922).",,
4,חשוון,"רבי יעקב הלברשטאם זצ""ל","האדמו""ר הראשון מטשאקאווא היה רבי יעקב הלברשטאם",,,חסידי,אדמו״ר,2685122725085494.jpg,Facebook group archive,5,,,
4,חשוון,"רבי יעקב יצחק דן מסטריקוב זצ""ל","רבי שלמה יצחק מטרנפול ב""ר יעקב חריף",,,,,2685122725085494.jpg,Facebook group archive,5,"הרב יעקב יצחק דן היה מסטריקוב. הוא התפרסם בדורו כאדם חסיד וחכם בתורה. פעולותיו הטובות והנתינה לצדקה עזרו לרבים מיהודי הקהילה. הרב היה ידוע בעקביותו בעבודת האל ובהנהגתו הישר לפי דרכי התורה והמסורת היהודית. זכרונו יהיה לברכה לדורות הבאים.

---

*הערה: אין לי מידע מאומת על רבים נוספים שנפטרו בתאריך זה. מומלץ לבדוק בספרי הזכרון או באתרים המתמחים בתולדות חכמי ישראל.*",,
4,חשוון,"הרב שלום אליהו ננקנסקי (ננקובסקי) זצ""ל","הרב שלום אליהו ננקנסקי (ננקובסקי) (בערך תרס""ה  נפטר בד' בחשוון תשל""ז, 1976)",,,,,,Facebook group archive,5,,,
4,חשוון,"הרב אליהו שרים זצ""ל","הרב אליהו שרים (נהגה שְׁרֵם; י""א באדר ה'תרצ""ב 1932  ד' בחשוון ה'תשס""ב 2001)",,,,,,Facebook group archive,5,,,
4,חשוון,"הרב חכם יוסף צרפתי זצ""ל",חכם יוסף צרפתי,,,,,,Facebook group archive,5,,,
4,חשוון,"הרב חכם יוסף גבאי זצ""ל",חכם יוסף גבאי,,,,,,Facebook group archive,5,,,
5,חשוון,"הרב צבי הירש קלישר זצ""ל",הרב צבי הירש קלישר,,"""דרישת ציון"" (מאמר א): ""גאולת ישראל אשר אנו חוכים לה, אל יחשוב החושב כי פתאום ירד ה' יתברך שמו משמים ארץ לאמור לעמו: צאו! או ישלח משיחו כרגע מן השמים לתקוע בשופר גדול על נדחי ישראל ויקבצם ירושלימה ויעשה להם חומת אש ומקדש א-ל ממרומים ירד כאשר הבטיח על ידי עבדיו הנביאים. לא כן הקורא המשכיל, ודאי יעודי הנביאים יתקיימו באחרית הימים ולא יפול ח""ו מדבריהם דבר ארצה, אך לא במנוסה נלך ולא בחפזון יום אחד, אלא מעט מעט תבוא גאולת ישראל"".

""לפעול בעוז ובחיל ובכח - כל אשר יש לאל יד הישראלי - להשתדל בחברת ארץ הנושבת או חברת יישוב הארץ"". וכן קרא: ""ועתה, למה אנו מחשים? עד מתי לא נרחם את ירושלים? עד מתי לא נחונן את עפרה?… עד אנה נאהוב זרים נחבק אדמת ניכר, ונחשוב כי בכוסף הלב לבד נעוף ההרה, הר הקודש ונחשוב לנו צדקה! 

""זה כשלושים שנה אשר אני עוסק בישיבת ארה""ק והיה כמו נדר בלבי לעלות בעצמי אל הר הקודש להסתופף בחצרותיו, וכעת תתגעש ותרעש רוחי בקרבי אם לא עכשיו אימתי אשלם נדרי לד'?... ובשגם נקראתי מן האדון קארל נעטער ביפו שמבקש שאבוא אצלו להורות לו דרך ישורון אור לקיים מצות התלויות בארץ. הגם שכמה מן דרי קודש כתבו עליו שטנה, הנה הגאון הראשון לציון העיד טוב על לימוד הילדים, וגם זה נסיון שרוצה לשמוע בקול בקיום המצות... ועם כל זאת אין דעתי לקבוע אהלי בהחלט ביאפו, רק עיקר דירתי יהיה בלא נדר בירושלים לקבוע ישיבה עם תלמידים ולהשגיח על האמת והשלום, ולהשכיל לעסק מקנה וקנין נחלת יעקב אצל יריחו צפת וטבריה, אשר השולטן רוצה למכור בזול. כי הארץ טובה שם, ומפראים אין פחד, וגם טוב לגדרות צאן לקיים דברי הנביא ארבה כצאן אדם ערים החרבות מלאות צאן אדם.""",,,2685634178367682.jpg,Facebook group archive,5,"הרב צבי הירש קלישר היה חוקר וציוני דתי שרעיונותיו השפיעו משמעותית על תנועת חיבת ציון, שהוקמה ברוסיה בשנת 1881. רבים מחיזיוניו הופכו לעקרונות יסוד של התנועה. הקיבוץ הדתי ""טירת צבי"", הממוקם בבקעת בית שאן, נקרא על שמו לזכר תרומתו לרעיון השיבה לארץ ישראל.",,
5,חשוון,"הרב חכם משה בירדוגו זצ""ל",חכם משה בירדוגו,,,,,,Facebook group archive,5,"הרב חכם משה בירדוגו זצ""ל נולד בשנת תל""א (1671) במכנאס במרוקו. הוא היה בנו של חכם אברהם ואמו הייתה אישה חכמה וצדקנית. משה גדל בסביבה יהודית עשירה בתורה ובמצוות, והצטיין בלימודיו מצעיר ימיו. הוא הפך לאחד מגדולי התלמידי חכמים במרוקו, ותרם רבות לעם ישראל ברוח הלימוד היהודי המסורתי.",,"הרב חכם משה בירדוגו זצ""ל למד תורה מסבו חכם חביב טולידאנו ומחכם יוסף בהתית. בשנת תע""ה התמנה לדיין וביקדש עצמו ללימוד והוראת התורה. בשנת תפ""ג, לאחר מות דודו חכם משה טולידאנו, מונה לאב בית הדין בעיר מכנאס, שהייתה בירת מרוקו ומקום מגוריו של המלך מולאי איסמעיל."
5,חשוון,"רבי משולם זלמן חסיד  אביו: ר' שמריה. זצ""ל",רבי משולם זלמן חסיד  אביו: ר' שמריה.,,,,,,Facebook group archive,5,"רבי משולם זלמן חסיד היה רב וחכם בתורה. אביו היה ר' שמריה, זכרונו לברכה. בין תלמידיו הבולטים היה ר' משה, שהיה בעל ספר ""החתם סופר"" החשוב. דרך הוראתו והשפעתו, תרם רבי משולם זלמן לעשרה של הדור שלו בדרכי התורה והחסידות.",,
5,חשוון,"הרב חכם שלמה ילוז זצ""ל",חכם שלמה ילוז,,,,,,Facebook group archive,5,"הרב חכם שלמה ילוז היה בן למשפחה של חכמים ורבנים נכבדים. אביו היה הרב חכם שמואל גרג'י, וסבו היה הרב חכם אברהם דהאן. בעל תורה ויראת שמיים, הרב ילוז עמד בראש מסורת משפחתית עתיקה של שירות לקהילה היהודית. הוא ירש מהוריו וממשפחתו את ההנהגה הרוחנית והתלמוד הגדול. זכרו יהיה ברכה לדורות הבאים.",,
6,חשוון,"הרב ר' יהודה החסיד - התס""א 1700 זצ""ל","ר' יהודה החסיד - התס""א 1700",,,חסידי,ראש ישיבה,2687133284884438.jpg,Facebook group archive,5,"רַבִּי יְהוּדָה הֶחָסִיד נוֹלַד בִּשְׁנַת שצ""ח (1638) בְּפוֹלִין, וְנִפְטַר בִּירוּשָׁלַיִם בִּשְׁנַת תס""א (1700). הָיָה מוּפְלָג בַּחֲסִידוּת וּבַעֲנָוָה, וְדַרְשָׁן רַב הַשְׁפָּעָה שֶׁנָּדַד בִּקְהִלּוֹת יִשְׂרָאֵל וְהֵטִיף לַחֲזָרָה בִּתְשׁוּבָה. מִתּוֹךְ אֱמוּנָה שֶׁהַגְּאוּלָּה קְרוֹבָה, יָצָא עִם מֵאָה וַחֲמִשִּׁים אִישׁ לְאֶרֶץ יִשְׂרָאֵל. לִקְרַאת הַסְּתָיו הִגִּיעוּ לִירוּשָׁלַיִם, וְרַבִּי יְהוּדָה נִפְטַר בְּפִתְאוֹמִיּוּת. 

לְפִי הַמָּסוֹרֶת, רָכַש שְׁטַח קַרְקַע סָמוּךְ לְבֵית כְּנֶסֶת הָרַמְבַּ""ן,",,
6,חשוון,"הרב החכם המקובל הגאון שאול דוד חי מועלם זצ""ל",החכם המקובל הגאון שאול דוד חי מועלם,,,מקובלים,מקובל,2687155878215512.jpg,Facebook group archive,5,"הָרַב הֶחָכָם הַמְקוּבָּל הַגָּאוֹן שָׁאוּל דָּוִד חַי מוֹעֲלֶם זַצַ״ל נוֹלַד בְּבַגְדָּד בְּשְׁנַת תַּר״ע (1910), עִיר שֶׁל חֲכָמִים וְסוֹפְרִים. קִבֵּל אֶת רֵאשִׁית חִנּוּכוֹ בְּתַלְמוּד תּוֹרָה הַגָּדוֹל, מִיְסוֹדוֹ שֶׁל הַגָּאוֹן רֵאשׁ גָּלוּתָא דְּבָבֶל רַבֵּנוּ עַבְדַּאלְלַה סוֹמֵךְ זַצַ״ל. לָמַד מְלֶאכֶת הַחַיָּטוּת כְּדֵי לֶאֱכוֹל מִיְגִיעַ כַּפָּיו, וּבְכָל עֵת פְּנוּיָה שָׁקַד עַל לִמּוּד הַתּוֹרָה. עוֹדֶנּוּ צָעִיר זָכָה לְהִתְקָרֵב לְמוֹרוֹ, הַמְקוּבָּל הָאֱלֹהִי רַבִּי יְהוּדָה פַּתְיָה ז",,
6,חשוון,"הרב ר' שלמה דוד יהושע וינברג - זצ""ל","ר' שלמה דוד יהושע וינברג - ( 1914 - ו' בחשוון תש""ד, 1943)",,,חסידי,אדמו״ר,2687155878215512.jpg,Facebook group archive,5,"הָרַב ר' שְׁלֹמֹה דָּוִד יְהוֹשֻׁעַ וַיְנְבֶּרְג זַצַ""ל הָיָה הָאַדְמוֹ""ר הָרְבִיעִי שֶׁל חֲסִידוּת סְלוֹנִים וּמִגְּדוֹלֵי הָאַדְמוֹ""רִים בְּלִיטָא הַפּוֹלָנִית. נוֹלַד בִּשְׁנַת תַּרְעַ""ב לְאָבִיו ר' אַבְרָהָם וַיְנְבֶּרְג הַשֵּׁנִי מִסְּלוֹנִים וּלְאִמּוֹ אֶלְקָה בְּרָכָה, נִינָה שֶׁל ר' מְנַחֵם מֶנְדֵּל מִקּוֹצְק. עָלָה עַל כֵּס הָאַדְמוֹ""רוּת בְּגִיל עֶשְׂרִים וְאַחַת וְהִתְחַתֵּן עִם בִּתּוֹ שֶׁל הָרַבִּי מֵאַלֶכְּסַנְדֶּר. בְּבָרָנוֹבִיץ' הָיָה נָשִׂיא יְשִׁיבַת ""תּוֹרַת חֶסֶד"" וְיְשִׁי",,
6,חשוון,"הרב כלפון משה הכהן זצ""ל",הרב כַלְפוֹן משה הכהן,,,,,2748539522077147.jpg,Facebook group archive,5,"הָרַב כַּלְפוֹן מֹשֶׁה הַכֹּהֵן זַצַ״ל שִׁמֵּשׁ כְּרַבָּהּ הָרִאשִׁי שֶׁל ג׳רְבָּה וּמִגְּדוֹלֵי רַבָּנֵי תּוּנִיסְיָה. הוּא חִבֵּר סְפָרִים רַבִּים בַּהֲלָכָה, בְּחִנּוּךְ, בְּמוּסָר, בִּדְרָשׁוֹת וּבִשְׁאֵלוֹת וּתְשׁוּבוֹת. הָרַב הָיָה תּוֹמֵךְ נִלְהָב שֶׁל הַצִּיּוֹנוּת וּפָעַל כָּל יָמָיו לְמַעַן הַשִּׁיבָה לְאֶרֶץ יִשְׂרָאֵל. הוּא כָּתַב חֲזוֹן קוֹסְמוֹפּוֹלִיטִי שֶׁדָּגַל בְּשָׁלוֹם עוֹלָמִי וּבְהֲקָמַת אִרְגּוּן דּוֹגְמַת הָאוּ״ם בִּירוּשָׁלָיִם. הָרַב נִפְטַר בְּג׳רְבָּה עֶרֶב עֲל",,
